case,n,backend,status,validation,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,intervals,simplices,reason
sphere8_h1_512,512,gudhi_simplex_tree,completed,passed,11928.831445,11915.097345,12152.503228,0.017124732371469935,43436,1370800,1326564,1216,22370048,
nonmetric_h1_128,128,gudhi_edge_collapse,completed,passed,123.871537,122.50925,125.617887,1.3056759843062251,41028,60528,19500,603,302943,
nonmetric_h1_128,128,ripser_py,completed,passed,423.116124,422.875677,425.203665,0.3822498879763797,116824,134500,17676,603,,
nonmetric_h1_128,128,cocycle,completed,passed,161.736091,160.901988,163.10481800000002,1.0,1284,11216,9932,603,,
nonmetric_h1_128,128,gudhi_simplex_tree,completed,passed,120.390451,119.766275,120.746,1.3434295631968352,40904,63152,22248,603,349632,
nonmetric_h1_256,256,gudhi_edge_collapse,completed,passed,1412.129269,1399.076751,1421.743025,9.770759038774656,42088,195628,153320,1667,2538585,
nonmetric_h1_256,256,ripser_py,completed,passed,38979.48278,38873.532631,39189.302257,0.3539701872616792,117528,419312,301784,1667,,
nonmetric_h1_256,256,cocycle,completed,passed,13797.574819,13787.600081,13883.555657,1.0,2692,172156,169284,1667,,
nonmetric_h1_256,256,gudhi_simplex_tree,completed,passed,1453.097001,1444.116555,1459.32619,9.49528820822334,41940,210760,168596,1667,2796416,
nonmetric_h1_512,512,gudhi_simplex_tree,completed,passed,16950.193223,16867.888595,17141.172962,,43512,1397456,1353148,4673,22370048,
nonmetric_h1_512,512,cocycle,timeout,passed,,,,,,,,,,
nonmetric_h1_512,512,ripser_py,timeout,passed,,,,,,,,,,
nonmetric_h1_512,512,gudhi_edge_collapse,completed,passed,16899.903096,16798.491463,16952.129018,,43500,1331156,1286860,4673,21440128,
grid_h1_64,64,gudhi_simplex_tree,completed,passed,10.805904,10.537931,10.920811,0.0646176386538322,41036,44528,3492,113,43744,
grid_h1_64,64,gudhi_edge_collapse,completed,passed,1.529545,1.522828,1.534402,0.4565096156046406,40992,41680,688,113,323,
