case,n,backend,status,validation,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,intervals,simplices,reason
nonmetric_h1_128,128,gudhi_edge_collapse,completed,passed,136.905751,124.167418,161.382126,1.1934506462040444,41116,60464,19348,603,302943,
nonmetric_h1_128,128,ripser_py,completed,passed,431.463404,428.42465,433.467913,0.37868856427971814,116512,134192,17680,603,,
nonmetric_h1_128,128,cocycle,completed,passed,163.39025700000002,163.32285299999998,170.40633,1.0,1404,11408,10004,603,,
nonmetric_h1_128,128,gudhi_simplex_tree,completed,passed,121.463904,121.187806,124.578048,1.3451754111246088,41120,63328,22208,603,349632,
nonmetric_h1_256,256,gudhi_edge_collapse,completed,passed,1436.95507,1429.623606,1447.989348,9.586554120999761,42016,195568,153332,1667,2538585,
nonmetric_h1_256,256,ripser_py,timeout,passed,,,,,,,,,,
nonmetric_h1_256,256,cocycle,completed,passed,13775.447548,13709.67801,13833.920574,1.0,2580,172108,169340,1667,,
nonmetric_h1_256,256,gudhi_simplex_tree,completed,passed,1441.573235,1438.791272,1450.128138,9.555843028675543,41820,210736,168696,1667,2796416,
nonmetric_h1_512,512,gudhi_simplex_tree,not_scheduled,unverified,,,,,,,,,,predeclared GUDHI limit n <= 256
nonmetric_h1_512,512,cocycle,timeout,unverified,,,,,,,,,,
nonmetric_h1_512,512,ripser_py,timeout,unverified,,,,,,,,,,
nonmetric_h1_512,512,gudhi_edge_collapse,not_scheduled,unverified,,,,,,,,,,predeclared GUDHI limit n <= 256
grid_h1_64,64,gudhi_simplex_tree,completed,passed,10.755402,10.518236,12.981551,0.05798862748226426,40948,44524,3576,113,43744,
grid_h1_64,64,gudhi_edge_collapse,completed,passed,1.530323,1.527411,1.631533,0.40755513705276597,40924,41660,736,113,323,
grid_h1_64,64,cocycle,completed,passed,0.623691,0.6159979999999999,0.6401370000000001,1.0,1332,2808,1476,113,,
grid_h1_64,64,ripser_py,completed,passed,1.650298,1.641978,1.675932,0.37792628967616754,116580,117164,584,113,,
grid_h1_144,144,gudhi_edge_collapse,completed,passed,14.451318,14.005192,15.809393,0.32970224584359714,41684,43240,1556,265,779,
grid_h1_144,144,ripser_py,completed,passed,12.164619,11.967354,12.204328,0.39167950923904815,116992,118536,1544,265,,
grid_h1_144,144,gudhi_simplex_tree,completed,passed,148.948606,147.70419,150.789569,0.03198842961981128,41640,72208,30568,265,497784,
grid_h1_144,144,cocycle,completed,passed,4.764632000000001,4.747785,4.831739,1.0,1284,3588,2304,265,,
grid_h1_256,256,gudhi_simplex_tree,completed,passed,1159.461341,1146.453358,1168.96619,0.017519154181096584,41852,209924,167852,481,2796416,
grid_h1_256,256,ripser_py,completed,passed,56.672188,55.963977,58.040336,0.3584259354870859,117248,121688,4440,481,,
grid_h1_256,256,cocycle,completed,passed,20.312782000000002,19.353245,24.867059,1.0,2556,6088,3340,481,,
grid_h1_256,256,gudhi_edge_collapse,completed,passed,85.873422,85.419655,89.090386,0.2365432927547711,41876,46672,4576,481,1449,
bipartite_h1_64,64,gudhi_edge_collapse,completed,passed,1.580704,1.566965,1.603697,1.5126355092414516,41104,42488,1384,1025,2179,
bipartite_h1_64,64,cocycle,completed,passed,2.3910289999999996,2.3829469999999997,2.458267,1.0,1304,2756,1452,1025,,
bipartite_h1_64,64,gudhi_simplex_tree,completed,passed,9.473179,9.460981,9.54572,0.2523998543677893,41060,44660,3600,1025,43744,
bipartite_h1_64,64,ripser_py,completed,passed,7.303157,7.302673,7.538092,0.3273966313472379,116900,117480,580,1025,,
bipartite_h1_64_cutoff,64,ripser_py,completed,passed,0.807474,0.793409,0.824351,0.9201373666520531,116720,117304,584,1025,,
bipartite_h1_64_cutoff,64,gudhi_simplex_tree,completed,passed,0.547912,0.540597,0.573818,1.3560334506271081,40912,41872,960,1025,1088,
bipartite_h1_64_cutoff,64,cocycle,completed,passed,0.742987,0.7416550000000001,0.754082,1.0,1332,2580,1248,1025,,
bipartite_h1_64_cutoff,64,gudhi_edge_collapse,completed,passed,0.797055,0.781766,0.812173,0.9321652834496992,41332,42368,1036,1025,1088,
bipartite_h1_128,128,gudhi_simplex_tree,completed,passed,85.643789,85.006844,88.660501,0.20050653060200313,40868,63968,23100,4097,349632,
bipartite_h1_128,128,gudhi_edge_collapse,completed,passed,8.674624,8.489904,9.143138,1.9795830920164377,41164,45044,3880,4097,12015,
bipartite_h1_128,128,cocycle,completed,passed,17.172138999999998,14.959961000000002,18.513188,1.0,1344,4068,2724,4097,,
bipartite_h1_128,128,ripser_py,completed,passed,52.224611,51.58004,53.044602,0.3288131528638863,116748,118648,1900,4097,,
bipartite_h1_128_cutoff,128,gudhi_edge_collapse,completed,passed,3.436161,3.2919,3.670491,1.4003170980637987,40824,43708,2884,4097,4224,
bipartite_h1_128_cutoff,128,cocycle,completed,passed,4.811715,4.805244999999999,4.860424,1.0,1284,3020,1736,4097,,
bipartite_h1_128_cutoff,128,ripser_py,completed,passed,4.284206,4.274704,4.399729,1.1231287664505396,116280,117712,1432,4097,,
bipartite_h1_128_cutoff,128,gudhi_simplex_tree,completed,passed,2.518538,2.329535,2.947425,1.9105191186315238,40996,43968,2972,4097,4224,
bipartite_h1_256,256,gudhi_simplex_tree,completed,passed,931.701711,925.039943,936.722844,0.12046202950463401,41788,213804,171792,16385,2796416,
bipartite_h1_256,256,ripser_py,completed,passed,382.207422,380.442288,382.464984,0.29364861208791493,117380,123544,6164,16385,,
bipartite_h1_256,256,gudhi_edge_collapse,completed,passed,36.432472,36.108959,37.518652,3.08062211644601,42272,53036,10544,16385,33673,
bipartite_h1_256,256,cocycle,completed,passed,112.234679,110.98303,115.046538,1.0,2728,8728,5816,16385,,
bipartite_h1_256_cutoff,256,ripser_py,completed,passed,27.30266,27.135064,30.893849,1.4143925903190386,117316,121500,4184,16385,,
bipartite_h1_256_cutoff,256,gudhi_edge_collapse,completed,passed,15.58074,15.321228,15.689034,2.4784881847717117,41988,50704,8496,16385,16640,
bipartite_h1_256_cutoff,256,cocycle,completed,passed,38.61668,36.519147000000004,39.846929,1.0,2556,4724,1976,16385,,
bipartite_h1_256_cutoff,256,gudhi_simplex_tree,completed,passed,10.342141,10.06933,10.351497,3.7339154436204267,41820,50604,8560,16385,16640,
