case,kind,n,backend,status,validation,median_ms,min_ms,max_ms,max_peak_rss_kib,max_hwm_growth_kib,intervals,reason
nonmetric_h1_32,benchmark,32,gudhi_collapse_cpp,completed,passed,1.6434674999999999,1.640687,1.646248,3744,1684,79,
nonmetric_h1_32,benchmark,32,gudhi_cpp,completed,passed,1.7130139999999998,1.693417,1.732611,3920,1964,79,
grid_h1_16,benchmark,16,gudhi_cpp,completed,passed,0.24189549999999999,0.239761,0.24403,3660,1668,25,
grid_h1_16,benchmark,16,ripser_cpp,completed,passed,0.046662499999999996,0.046237,0.047088,1952,0,25,
grid_h1_16,benchmark,16,cocycle,completed,passed,0.041423,0.041247,0.041599,1076,0,25,
grid_h1_16,benchmark,16,gudhi_collapse_cpp,completed,passed,0.089298,0.088286,0.09031,2000,0,25,
grid_h1_36,benchmark,36,gudhi_cpp,completed,passed,2.2207689999999998,2.174111,2.267427,3956,1908,61,
grid_h1_36,benchmark,36,cocycle,completed,passed,0.209239,0.209174,0.209304,1132,0,61,
grid_h1_36,benchmark,36,gudhi_collapse_cpp,completed,passed,0.415572,0.40382,0.427324,2020,0,61,
grid_h1_36,benchmark,36,ripser_cpp,completed,passed,0.19538250000000001,0.194456,0.196309,1932,0,61,
bipartite_h1_16,benchmark,16,gudhi_cpp,completed,passed,0.2467695,0.243849,0.24969,2000,0,65,
bipartite_h1_16,benchmark,16,ripser_cpp,completed,passed,0.091978,0.088587,0.095369,2012,0,65,
bipartite_h1_16,benchmark,16,cocycle,completed,passed,0.0773205,0.070273,0.084368,1076,0,65,
bipartite_h1_16,benchmark,16,gudhi_collapse_cpp,completed,passed,0.11847350000000001,0.118163,0.118784,2012,0,65,
bipartite_h1_16_cutoff,benchmark,16,gudhi_cpp,completed,passed,0.0586855,0.05852,0.058851,2000,0,65,
bipartite_h1_16_cutoff,benchmark,16,gudhi_collapse_cpp,completed,passed,0.07197049999999999,0.071535,0.072406,2020,0,65,
bipartite_h1_16_cutoff,benchmark,16,ripser_cpp,completed,passed,0.027286499999999998,0.027011,0.027562,1956,0,65,
bipartite_h1_16_cutoff,benchmark,16,cocycle,completed,passed,0.0240755,0.023925,0.024226,1056,0,65,
bipartite_h1_32,benchmark,32,cocycle,completed,passed,0.38368199999999997,0.38266,0.384704,1080,0,257,
bipartite_h1_32,benchmark,32,gudhi_cpp,completed,passed,1.452378,1.446612,1.458144,3940,1924,257,
bipartite_h1_32,benchmark,32,ripser_cpp,completed,passed,0.45167999999999997,0.448584,0.454776,1940,0,257,
bipartite_h1_32,benchmark,32,gudhi_collapse_cpp,completed,passed,0.4074215,0.404481,0.410362,3636,1588,257,
bipartite_h1_32_cutoff,benchmark,32,ripser_cpp,completed,passed,0.0715045,0.071244,0.071765,1984,0,257,
bipartite_h1_32_cutoff,benchmark,32,gudhi_cpp,completed,passed,0.15861399999999998,0.155323,0.161905,3668,1652,257,
bipartite_h1_32_cutoff,benchmark,32,gudhi_collapse_cpp,completed,passed,0.2020805,0.201279,0.202882,3752,1704,257,
bipartite_h1_32_cutoff,benchmark,32,cocycle,completed,passed,0.1139945,0.113704,0.114285,1096,0,257,
